campaign_id,campaign_name,campaign_type,channel,target_audience,geography,start_date,end_date,budget_allocated,amount_spent,impressions,clicks,leads_generated,conversions,revenue_generated,ctr,conversion_rate,cpc,cpa,customer_acquisition_cost,campaign_status,quarter,year,satisfaction_score,bounce_rate,engagement_rate,roi_percentage,campaign_duration_days,budget_utilization,revenue_per_impression,revenue_per_click,cost_efficiency_ratio,lead_to_conversion_rate,profit,profit_margin,is_profitable,campaign_month,campaign_quarter,roi_category,budget_tier,performance_score
CAMP_6846,Brand Refresh Lead Gen - Google Ads 2024,Lead Generation,Google Ads,Students,Asia Pacific,2024-02-02,2024-04-02,7459.62,4788.05,76772,2182,278,22,1435.37,2.8422,1.0082,2.19,217.64,272.05,Paused,Q1,2024,2.9,71.7,12.1,-70.02,60,64.19,0.0187,0.66,0.3,7.91,-3352.68,-233.58,False,February,1,Negative ROI,Small (5K-25K),4.46
CAMP_3408,New Year Retention - YouTube 2023,Retention,YouTube,Mid-Age 35-50,North America,2023-11-05,2024-03-04,34348.9,32585.32,11247655,57349,1345,391,27525.69,0.5099,0.6818,0.57,83.34,104.18,Completed,Q4,2023,4.0,68.35,7.97,-15.53,120,94.87,0.0024,0.48,0.84,29.07,-5059.63,-18.38,False,November,4,Negative ROI,Medium (25K-100K),2.01
CAMP_5743,Product Launch Lead Gen - Facebook Ads 2023,Lead Generation,Facebook Ads,Parents,Asia Pacific,2023-03-08,2023-07-06,10842.79,9400.28,494876,5925,513,116,14472.39,1.1973,1.9578,1.59,81.04,101.3,Completed,Q1,2023,2.7,82.09,9.84,53.96,120,86.7,0.0292,2.44,1.54,22.61,5072.11,35.05,True,March,1,Medium (50-150%),Small (5K-25K),5.37
CAMP_3123,Cyber Monday Brand Awareness - Instagram Ads 2024,Brand Awareness,Instagram Ads,Senior 50+,North America,2024-10-13,2024-12-27,10345.23,9130.65,1126198,7606,86,81,922.33,0.6754,1.0649,1.2,112.72,140.9,Active,Q4,2024,3.1,76.64,17.76,-89.9,75,88.26,0.0008,0.12,0.1,94.19,-8208.32,-889.95,False,October,4,Negative ROI,Small (5K-25K),2.62
CAMP_1147,Black Friday Win-back - Facebook Ads 2022,Re-engagement,Facebook Ads,Parents,North America,2022-10-18,2022-11-01,41544.88,41912.6,2437707,30549,369,267,21143.8,1.2532,0.874,1.37,156.98,196.22,Completed,Q4,2022,3.0,67.6,10.77,-49.55,14,100.89,0.0087,0.69,0.5,72.36,-20768.8,-98.23,False,October,4,Negative ROI,Medium (25K-100K),2.9
CAMP_6739,Back to School Brand Awareness - Email 2024,Brand Awareness,Email,Young Adults 18-25,Europe,2024-08-24,2024-09-14,16983.08,15648.28,1107133,25462,282,32,1477.94,2.2998,0.1257,0.61,489.01,611.26,Active,Q3,2024,3.5,75.08,14.18,-90.56,21,92.14,0.0013,0.06,0.09,11.35,-14170.34,-958.79,False,August,3,Negative ROI,Small (5K-25K),2.18
CAMP_4828,Holiday Conversion Push - Social Media 2024,Conversion,Social Media,Students,Asia Pacific,2024-11-02,2024-12-17,149153.32,109508.91,6947638,94566,2311,748,111580.95,1.3611,0.791,1.16,146.4,183.0,Completed,Q4,2024,3.4,87.37,2.44,1.89,45,73.42,0.0161,1.18,1.02,32.37,2072.04,1.86,True,November,4,Low (0-50%),Large (100K-250K),3.03
CAMP_2872,Back to School Retention - Facebook Ads 2023,Retention,Facebook Ads,Young Adults 18-25,Asia Pacific,2023-03-19,2023-04-09,14953.41,14381.77,974231,12018,534,110,20004.08,1.2336,0.9153,1.2,130.74,163.43,Completed,Q1,2023,3.2,63.92,12.18,39.09,21,96.18,0.0205,1.66,1.39,20.6,5622.31,28.11,True,March,1,Low (0-50%),Small (5K-25K),3.3
CAMP_9153,New Year Win-back - Content Marketing 2023,Re-engagement,Content Marketing,Mid-Age 35-50,North America,2023-10-16,2023-11-15,58843.42,54572.35,1759754,34484,1584,382,66483.1,1.9596,1.1078,1.58,142.86,178.58,Completed,Q4,2023,3.5,75.07,10.67,21.83,30,92.74,0.0378,1.93,1.22,24.12,11910.75,17.92,True,October,4,Low (0-50%),Medium (25K-100K),4.24
CAMP_1913,Holiday Conversion Push - Instagram Ads 2023,Conversion,Instagram Ads,Mid-Age 35-50,North America,2023-02-22,2023-03-15,24440.58,23071.54,1613375,16463,719,172,140984.25,1.0204,1.0448,1.4,134.14,167.68,Completed,Q1,2023,2.1,86.03,6.64,511.07,21,94.4,0.0874,8.56,6.11,23.92,117912.71,83.64,True,February,1,Exceptional (300%+),Small (5K-25K),5.18
CAMP_3961,Back to School Lead Gen - Google Ads 2023,Lead Generation,Google Ads,Professionals 25-35,Europe,2023-08-19,2024-01-16,18372.07,17085.65,165341,6958,369,202,56557.41,4.2083,2.9031,2.46,84.58,105.72,Completed,Q3,2023,3.9,79.3,5.04,231.02,150,93.0,0.3421,8.13,3.31,54.74,39471.76,69.79,True,August,3,High (150-300%),Small (5K-25K),10.5
CAMP_6710,Black Friday Retention - SEO 2022,Retention,SEO,Mid-Age 35-50,Europe,2022-07-13,2022-08-12,70761.75,52660.62,640845,41606,2121,517,278340.11,6.4924,1.2426,1.27,101.86,127.32,Completed,Q3,2022,3.4,87.79,12.16,428.55,30,74.42,0.4343,6.69,5.29,24.38,225679.49,81.08,True,July,3,Exceptional (300%+),Medium (25K-100K),9.97
CAMP_6132,Product Launch Conversion Push - Instagram Ads 2024,Conversion,Instagram Ads,Senior 50+,Latin America,2024-08-26,2024-09-16,8954.68,8474.64,539002,6908,215,72,12022.05,1.2816,1.0423,1.23,117.7,147.12,Completed,Q3,2024,4.0,91.47,6.5,41.86,21,94.64,0.0223,1.74,1.42,33.49,3547.41,29.51,True,August,3,Low (0-50%),Small (5K-25K),3.6
CAMP_7494,Win-back Lead Gen - Social Media 2022,Lead Generation,Social Media,Parents,Europe,2022-01-19,2022-06-18,1358.2884,1218.13,62250,816,44,8,1611.82,1.3108,0.9804,1.49,152.27,190.34,Completed,Q1,2022,3.2,83.24,7.47,32.32,150,89.68,0.0259,1.98,1.32,18.18,393.69,24.43,True,January,1,Low (0-50%),Micro (<5K),3.47
CAMP_9821,Back to School Retention - Influencer 2024,Retention,Influencer,Students,Asia Pacific,2024-11-11,2025-04-10,31489.85,25947.36,2147179,21768,837,314,41170.56,1.0138,1.4425,1.19,82.63,103.29,Completed,Q4,2024,4.6,81.76,9.13,58.67,150,82.4,0.0192,1.89,1.59,37.51,15223.2,36.98,True,November,4,Medium (50-150%),Medium (25K-100K),4.22
CAMP_9227,Spring Lead Gen - Google Ads 2024,Lead Generation,Google Ads,Parents,North America,2024-08-05,2024-08-12,3312.8,2722.04,27174,921,65,20,5471.75,3.3893,2.1716,2.96,136.1,170.12,Completed,Q3,2024,2.9,82.07,10.45,101.02,7,82.17,0.2014,5.94,2.01,30.77,2749.71,50.25,True,August,3,Medium (50-150%),Micro (<5K),7.86
CAMP_1910,Brand Refresh Retention - SEO 2024,Retention,SEO,Parents,Asia Pacific,2024-02-01,2024-03-02,13908.03,12523.37,385601,16074,757,341,235732.85,4.1686,2.1214,0.78,36.73,45.91,Completed,Q1,2024,3.5,73.65,15.48,1782.34,30,90.04,0.6113,14.67,18.82,45.05,223209.48,94.69,True,February,1,Exceptional (300%+),Small (5K-25K),14.86
CAMP_0433,Winter Brand Awareness - Affiliate 2023,Brand Awareness,Affiliate,Parents,North America,2023-05-14,2023-07-13,4614.72,3747.85,275580,4172,104,16,2254.69,1.5139,0.3835,0.9,234.24,292.8,Completed,Q2,2023,3.0,62.31,10.45,-39.84,60,81.22,0.0082,0.54,0.6,15.38,-1493.16,-66.22,False,May,2,Negative ROI,Micro (<5K),2.2
CAMP_7583,Spring Brand Awareness - Influencer 2024,Brand Awareness,Influencer,Professionals 25-35,Latin America,2024-05-05,2024-08-03,91146.12,78260.18,7784897,49715,1186,117,18367.72,0.6386,0.2353,1.57,668.89,836.11,Completed,Q2,2024,3.3,65.14,13.55,-76.53,90,85.86,0.0024,0.37,0.23,9.87,-59892.46,-326.07,False,May,2,Negative ROI,Medium (25K-100K),1.02
CAMP_0809,Monsoon Conversion Push - Content Marketing 2023,Conversion,Content Marketing,Mid-Age 35-50,North America,2023-04-29,2023-05-29,5992.29,3738.78,122599,1658,58,14,5351.55,1.3524,0.8444,2.25,267.06,333.82,Active,Q2,2023,3.6,75.9,10.93,43.14,30,62.39,0.0437,3.23,1.43,24.14,1612.77,30.14,True,April,2,Low (0-50%),Small (5K-25K),3.28
CAMP_5009,Cyber Monday Conversion Push - Facebook Ads 2023,Conversion,Facebook Ads,Mid-Age 35-50,Asia Pacific,2023-05-23,2023-11-19,4343.53,3266.54,207036,2205,120,25,4780.69,1.065,1.1338,1.48,130.66,163.32,Completed,Q2,2023,4.5,87.58,8.07,46.35,180,75.2,0.0231,2.17,1.46,20.83,1514.15,31.67,True,May,2,Low (0-50%),Micro (<5K),3.61
CAMP_2081,Autumn Conversion Push - Facebook Ads 2022,Conversion,Facebook Ads,Professionals 25-35,Middle East,2022-07-07,2022-08-06,6776.02,6584.24,363304,5698,356,162,51799.19,1.5684,2.8431,1.16,40.64,50.8,Completed,Q3,2022,4.3,76.25,7.01,686.71,30,97.17,0.1426,9.09,7.87,45.51,45214.95,87.29,True,July,3,Exceptional (300%+),Small (5K-25K),9.85
CAMP_4654,Winter Lead Gen - SEO 2024,Lead Generation,SEO,Professionals 25-35,Africa,2024-11-12,2024-12-03,27341.38,20425.06,619800,18653,1280,755,74184.92,3.0095,4.0476,1.1,27.05,33.81,Completed,Q4,2024,4.2,92.0,2.09,263.21,21,74.7,0.1197,3.98,3.63,58.98,53759.86,72.47,True,November,4,High (150-300%),Medium (25K-100K),11.83
CAMP_6764,Summer Brand Awareness - Instagram Ads 2022,Brand Awareness,Instagram Ads,Parents,North America,2022-06-13,2022-08-12,13767.61,10334.92,706213,5711,130,22,5838.87,0.8087,0.3852,1.81,469.77,587.21,Completed,Q2,2022,3.4,79.19,12.21,-43.5,60,75.07,0.0083,1.02,0.56,16.92,-4496.05,-77.0,False,June,2,Negative ROI,Small (5K-25K),1.58
CAMP_5679,Brand Refresh Win-back - Facebook Ads 2024,Re-engagement,Facebook Ads,Mid-Age 35-50,North America,2024-05-08,2024-07-07,59755.96,55268.36,3800114,38934,1503,302,58662.73,1.0245,0.7757,1.42,183.01,228.76,Completed,Q2,2024,4.3,83.84,8.93,6.14,60,92.49,0.0154,1.51,1.06,20.09,3394.37,5.79,True,May,2,Low (0-50%),Medium (25K-100K),2.72
CAMP_8575,Cyber Monday Conversion Push - Email 2024,Conversion,Email,Students,Europe,2024-02-04,2024-02-11,1492.51,1404.76,76554,2463,90,37,7472.54,3.2173,1.5022,0.57,37.97,47.46,Completed,Q1,2024,3.6,74.74,6.67,431.94,7,94.12,0.0976,3.03,5.32,41.11,6067.78,81.2,True,February,1,Exceptional (300%+),Micro (<5K),7.67
CAMP_0276,Summer Brand Awareness - Influencer 2023,Brand Awareness,Influencer,Mid-Age 35-50,Asia Pacific,2023-11-30,2024-03-29,1358.2884,771.92,106633,921,17,2,181.17,0.8637,0.2172,0.84,385.96,482.45,Completed,Q4,2023,4.1,88.07,9.65,-76.53,120,56.83,0.0017,0.2,0.23,11.76,-590.75,-326.07,False,November,4,Negative ROI,Micro (<5K),1.17
CAMP_2457,Summer Brand Awareness - Influencer 2022,Brand Awareness,Influencer,Students,Latin America,2022-02-12,2022-03-05,13968.47,8040.48,410775,6648,104,8,888.97,1.6184,0.1203,1.21,1005.06,1256.32,Completed,Q1,2022,4.3,85.39,5.31,-88.94,21,57.56,0.0022,0.13,0.11,7.69,-7151.51,-804.47,False,February,1,Negative ROI,Small (5K-25K),1.59
CAMP_4363,Spring Brand Awareness - YouTube 2022,Brand Awareness,YouTube,Professionals 25-35,Europe,2022-03-03,2022-03-17,12723.1,13126.69,4777233,18797,242,28,2959.19,0.3935,0.149,0.7,468.81,586.01,Completed,Q1,2022,3.4,66.64,15.07,-77.46,14,103.17,0.0006,0.16,0.23,11.57,-10167.5,-343.59,False,March,1,Negative ROI,Small (5K-25K),0.63
CAMP_9315,Back to School Conversion Push - Affiliate 2023,Conversion,Affiliate,Young Adults 18-25,Europe,2023-07-12,2023-09-25,17263.3,9099.56,694095,12150,549,299,28346.1,1.7505,2.4609,0.75,30.43,38.04,Paused,Q3,2023,3.5,90.64,10.32,211.51,75,52.71,0.0408,2.33,3.12,54.46,19246.54,67.9,True,July,3,High (150-300%),Small (5K-25K),7.44
CAMP_2045,Loyalty Lead Gen - SEO 2023,Lead Generation,SEO,Young Adults 18-25,North America,2023-04-24,2023-07-08,18091.5,18747.4,318966,15476,630,171,34449.64,4.8519,1.1049,1.21,109.63,137.04,Completed,Q2,2023,3.2,81.67,3.21,83.76,75,103.63,0.108,2.23,1.84,27.14,15702.24,45.58,True,April,2,Medium (50-150%),Small (5K-25K),6.97
CAMP_4241,Winter Conversion Push - Facebook Ads 2022,Conversion,Facebook Ads,Young Adults 18-25,Europe,2022-06-09,2022-07-09,3987.99,4187.39,118715,3279,90,23,5392.22,2.7621,0.7014,1.28,182.06,227.58,Completed,Q2,2022,3.8,68.54,9.53,28.77,30,105.0,0.0454,1.64,1.29,25.56,1204.83,22.34,True,June,2,Low (0-50%),Micro (<5K),4.16
CAMP_4944,Spring Brand Awareness - YouTube 2023,Brand Awareness,YouTube,Mid-Age 35-50,North America,2023-12-07,2024-02-05,115233.08,69570.72,19253741,132146,2499,162,28879.36,0.6863,0.1226,0.53,429.45,536.81,Completed,Q4,2023,3.4,84.66,9.6,-58.49,60,60.37,0.0015,0.22,0.42,6.48,-40691.36,-140.9,False,December,4,Negative ROI,Large (100K-250K),0.9
CAMP_5560,Newsletter Retention - Google Ads 2024,Retention,Google Ads,Young Adults 18-25,North America,2024-04-17,2024-05-08,35061.56,8692.43,113306,3980,153,37,1533.06,3.5126,0.9296,2.18,234.93,293.66,Cancelled,Q2,2024,3.9,75.43,12.84,-82.36,21,24.79,0.0135,0.39,0.18,24.18,-7159.37,-467.0,False,April,2,Negative ROI,Medium (25K-100K),4.83
CAMP_7356,Spring Conversion Push - Content Marketing 2022,Conversion,Content Marketing,Professionals 25-35,Latin America,2022-01-20,2022-07-19,39650.17,37250.76,1928961,26844,1053,499,125901.77,1.3916,1.8589,1.39,74.65,93.31,Active,Q1,2022,3.9,69.83,6.46,237.98,180,93.95,0.0653,4.69,3.38,47.39,88651.01,70.41,True,January,1,High (150-300%),Medium (25K-100K),6.05
CAMP_3921,Webinar Lead Gen - Affiliate 2023,Lead Generation,Affiliate,Professionals 25-35,Latin America,2023-04-15,2023-04-22,12064.54,10713.97,1005908,12296,895,260,49683.88,1.2224,2.1145,0.87,41.21,51.51,Completed,Q2,2023,3.9,92.0,11.31,363.73,7,88.81,0.0494,4.04,4.64,29.05,38969.91,78.44,True,April,2,Exceptional (300%+),Small (5K-25K),6.89
CAMP_0288,Winter Win-back - Instagram Ads 2024,Re-engagement,Instagram Ads,Mid-Age 35-50,Asia Pacific,2024-08-02,2024-09-01,11046.63,11047.11,1521899,7898,187,33,6525.83,0.519,0.4178,1.4,334.76,418.45,Completed,Q3,2024,3.4,79.25,8.89,-40.93,30,100.0,0.0043,0.83,0.59,17.65,-4521.28,-69.28,False,August,3,Negative ROI,Small (5K-25K),1.41
CAMP_1018,Newsletter Conversion Push - Facebook Ads 2023,Conversion,Facebook Ads,Mid-Age 35-50,Europe,2023-05-04,2023-10-01,5374.11,3685.96,157642,2654,93,49,11602.11,1.6836,1.8463,1.39,75.22,94.02,Active,Q2,2023,3.6,77.37,12.06,214.76,150,68.59,0.0736,4.37,3.15,52.69,7916.15,68.23,True,May,2,High (150-300%),Small (5K-25K),6.19
CAMP_9976,Win-back Retention - Social Media 2022,Retention,Social Media,Mid-Age 35-50,Asia Pacific,2022-09-25,2023-03-24,19863.34,3371.91,253133,2427,137,36,1040.38,0.9588,1.4833,1.39,93.66,117.07,Cancelled,Q3,2022,4.1,84.62,5.05,-69.15,180,16.98,0.0041,0.43,0.31,26.28,-2331.53,-224.1,False,September,3,Negative ROI,Small (5K-25K),3.77
CAMP_4618,Winter Retention - Facebook Ads 2022,Retention,Facebook Ads,Mid-Age 35-50,Asia Pacific,2022-10-24,2023-01-22,72105.83,64985.43,5519157,59974,3145,1783,453210.8,1.0867,2.973,1.08,36.45,45.56,Completed,Q4,2022,5.0,74.33,6.59,597.4,90,90.13,0.0821,7.56,6.97,56.69,388225.37,85.66,True,October,4,Exceptional (300%+),Medium (25K-100K),9.35
CAMP_1676,Festive Conversion Push - Instagram Ads 2023,Conversion,Instagram Ads,Professionals 25-35,Latin America,2023-11-17,2023-12-08,44902.66,42222.92,3902673,44044,1725,390,55899.87,1.1286,0.8855,0.96,108.26,135.33,Active,Q4,2023,3.7,58.915800000000004,8.47,32.39,21,94.03,0.0143,1.27,1.32,22.61,13676.95,24.47,True,November,4,Low (0-50%),Medium (25K-100K),3.13
CAMP_0010,Flash Sale Lead Gen - Influencer 2023,Lead Generation,Influencer,Professionals 25-35,North America,2023-08-04,2023-09-18,69263.05,62570.17,7882704,55783,1548,399,30281.83,0.7077,0.7153,1.12,156.82,196.02,Active,Q3,2023,4.2,89.36,5.2,-51.6,45,90.34,0.0038,0.54,0.48,25.78,-32288.34,-106.63,False,August,3,Negative ROI,Medium (25K-100K),2.11
CAMP_6346,Win-back Retention - Influencer 2022,Retention,Influencer,Young Adults 18-25,Middle East,2022-01-28,2022-02-27,4818.47,3448.03,1092386,3991,137,37,6867.48,0.3653,0.9271,0.86,93.19,116.49,Active,Q1,2022,5.0,89.84,3.54,99.17,30,71.56,0.0063,1.72,1.99,27.01,3419.45,49.79,True,January,1,Medium (50-150%),Micro (<5K),2.81
CAMP_7490,Referral Brand Awareness - Email 2022,Brand Awareness,Email,Professionals 25-35,North America,2022-07-04,2022-07-25,20184.9,10019.28,268803,11049,272,34,2705.72,4.1104,0.3077,0.91,294.68,368.35,Paused,Q3,2022,2.7,87.64,4.03,-72.99,21,49.64,0.0101,0.24,0.27,12.5,-7313.56,-270.3,False,July,3,Negative ROI,Small (5K-25K),4.17
CAMP_4748,Newsletter Brand Awareness - Social Media 2024,Lead Generation,Social Media,Professionals 25-35,North America,2024-09-29,2024-12-13,11938.3,9285.87,811887,10485,222,41,5579.66,1.2914,0.391,0.89,226.48,283.1,Active,Q3,2024,3.3,79.0,5.63,-39.91,75,77.78,0.0069,0.53,0.6,18.47,-3706.21,-66.42,False,September,3,Negative ROI,Small (5K-25K),2.02
CAMP_1237,New Year Lead Gen - Content Marketing 2024,Lead Generation,Content Marketing,Parents,North America,2024-06-03,2024-08-17,16631.78,5581.48,202381,3196,302,58,3494.6,1.5792,1.8148,1.75,96.23,120.29,Cancelled,Q2,2024,3.5,92.0,3.02,-37.39,75,33.56,0.0173,1.09,0.63,19.21,-2086.88,-59.72,False,June,2,Negative ROI,Small (5K-25K),5.07
CAMP_3354,Winter Retention - YouTube 2023,Retention,YouTube,Students,North America,2023-02-20,2023-03-13,35927.63,28637.66,5359155,40659,1305,221,13333.56,0.7587,0.5435,0.7,129.58,161.98,Completed,Q1,2023,4.0,83.26,7.44,-53.44,21,79.71,0.0025,0.33,0.47,16.93,-15304.1,-114.78,False,February,1,Negative ROI,Medium (25K-100K),1.81
