campaign_id,campaign_name,campaign_type,channel,target_audience,geography,start_date,end_date,budget_allocated,amount_spent,impressions,clicks,leads_generated,conversions,revenue_generated,ctr,conversion_rate,cpc,cpa,customer_acquisition_cost,campaign_status,quarter,year,satisfaction_score,bounce_rate,engagement_rate,roi_percentage
CAMP_5743,Product Launch Lead Gen - Facebook Ads 2023,Lead Generation,Facebook Ads,Parents,Asia Pacific,2023-03-08,2023-07-06,10842.79,9400.28,494876.0,5925.0,513.0,116.0,14472.39,1.1973,1.9578,1.59,81.04,101.3,Completed,Q1,2023.0,2.7,82.09,9.84,53.96
CAMP_3123,Cyber Monday Brand Awareness - Instagram Ads 2024,Brand Awareness,Instagram Ads,Senior 50+,North America,2024-10-13,2024-12-27,10345.23,9130.65,1126198.0,7606.0,86.0,,922.33,0.6754,0.0657,1.2,1826.13,2282.66,Active,Q4,2024.0,3.1,76.64,17.76,-89.9
CAMP_1147,Black Friday Win-back - Facebook Ads 2022,Re-engagement,Facebook Ads,Parents,North America,2022-10-18,2022-11-01,41544.88,41912.6,2437707.0,30549.0,,267.0,21143.8,1.2532,0.874,1.37,156.98,196.22,completed,Q4,2022.0,3.0,67.6,10.77,-49.55
CAMP_6739,Back to School Brand Awareness - Email 2024,Brand Awareness,Email,Young Adults 18-25,Europe,2024-08-24,2024-09-14,16983.08,15648.28,1107133.0,25462.0,282.0,32.0,1477.94,2.2998,0.1257,0.61,489.01,611.26,Active,Q3,2024.0,3.5,75.08,14.18,-90.56
CAMP_4828,Holiday Conversion Push - Social Media 2024,Conversion,Social Media,Students,Asia Pacific,2024-11-02,2024-12-17,149153.32,109508.91,6947638.0,94566.0,2311.0,748.0,111580.95,1.3611,0.791,1.16,146.4,183.0,Completed,Q4,2024.0,3.4,87.37,2.44,1.89
CAMP_2872,Back to School Retention - Facebook Ads 2023,Retention,Facebook Ads,Young Adults 18-25,Asia Pacific,2023-03-19,2023-04-09,14953.41,14381.77,974231.0,12018.0,534.0,110.0,20004.08,1.2336,0.9153,1.2,130.74,163.43,Completed,Q1,2023.0,3.2,63.92,12.18,39.09
CAMP_9153,New Year Win-back - Content Marketing 2023,Re-engagement,Content Marketing,Mid-Age 35-50,North America,2023-10-16,2023-11-15,58843.42,54572.35,1759754.0,34484.0,1584.0,382.0,66483.1,1.9596,1.1078,1.58,142.86,178.57,Completed,Q4,2023.0,3.5,75.07,10.67,21.83
CAMP_1913,Holiday Conversion Push - Instagram Ads 2023,Conversion,Instagram Ads,Mid-Age 35-50,North America,2023-02-22,2023-03-15,24440.58,23071.54,1613375.0,16463.0,719.0,172.0,140984.25,1.0204,1.0448,1.4,134.14,167.67,Completed,Q1,2023.0,2.1,86.03,6.64,511.07
CAMP_3961,Back to School Lead Gen - Google Ads 2023,Lead Generation,Google Ads,Professionals 25-35,Europe,2023-08-19,2024-01-16,18372.07,17085.65,165341.0,6958.0,,202.0,56557.41,4.2083,2.9031,2.46,84.58,105.73,Completed,Q3,2023.0,3.9,79.3,5.04,231.02
CAMP_6710,Black Friday Retention - SEO 2022,Retention,SEO,Mid-Age 35-50,Europe,2022-07-13,2022-08-12,70761.75,52660.62,640845.0,41606.0,2121.0,517.0,278340.11,6.4924,1.2426,1.27,101.86,127.32,Completed,Q3,2022.0,3.4,87.79,12.16,428.55
CAMP_6132,Product Launch Conversion Push - Instagram Ads 2024,conversion,Instagram Ads,Senior 50+,Latin America,2024-08-26,2024-09-16,8954.68,8474.64,539002.0,6908.0,215.0,72.0,12022.05,1.2816,1.0423,1.23,117.7,147.13,Completed,Q3,2024.0,4.0,91.47,6.5,41.86
CAMP_7494,Win-back Lead Gen - Social Media 2022,Lead Generation,Social Media,Parents,Europe,2022-01-19,2022-06-18,1357.01,1218.13,62250.0,816.0,44.0,8.0,1611.82,1.3108,0.9804,1.49,152.27,190.33,Completed,Q1,2022.0,3.2,83.24,7.47,32.32
CAMP_9821,Back to School Retention - Influencer 2024,Retention,Influencer,Students,Asia Pacific,2024-11-11,2025-04-10,31489.85,25947.36,2147179.0,21768.0,837.0,314.0,41170.56,1.0138,1.4425,1.19,82.63,103.29,Completed,Q4,2024.0,4.6,81.76,9.13,58.67
CAMP_9227,Spring Lead Gen - Google Ads 2024,Lead Generation,Google Ads,Parents,North America,2024-08-05,2024-08-12,3312.8,2722.04,27174.0,921.0,65.0,20.0,5471.75,3.3893,2.1716,2.96,136.1,170.13,Completed,Q3,2024.0,2.9,82.07,10.45,101.02
CAMP_1910,Brand Refresh Retention - SEO 2024,Retention,SEO,Parents,Asia Pacific,2024-02-01,2024-03-02,13908.03,12523.37,385601.0,16074.0,757.0,341.0,235732.85,4.1686,2.1214,0.78,36.73,45.91,Completed,Q1,2024.0,3.5,73.65,15.48,1782.34
CAMP_0433,Winter Brand Awareness - Affiliate 2023,Brand Awareness,Affiliate,Parents,North America,2023-05-14,2023-07-13,4614.72,3747.85,275580.0,4172.0,104.0,16.0,2254.69,1.5139,0.3835,0.9,234.24,292.8,,Q2,2023.0,3.0,62.31,10.45,-39.84
CAMP_7583,Spring Brand Awareness - Influencer 2024,Brand Awareness,Influencer,Professionals 25-35,Latin America,2024-05-05,2024-08-03,91146.12,78260.18,7784897.0,49715.0,1186.0,117.0,18367.72,0.6386,0.2353,1.57,668.89,836.11,Completed,Q2,2024.0,3.3,65.14,13.55,-76.53
CAMP_0809,Monsoon Conversion Push - Content Marketing 2023,Conversion,Content Marketing,Mid-Age 35-50,North America,2023-04-29,2023-05-29,5992.29,3738.78,122599.0,1658.0,58.0,14.0,5351.55,1.3524,0.8444,2.25,267.06,333.82,Active,Q2,2023.0,3.6,75.9,10.93,43.14
CAMP_5009,Cyber Monday Conversion Push - Facebook Ads 2023,Conversion,Facebook Ads,Mid-Age 35-50,Asia Pacific,2023-05-23,2023-11-19,4343.53,3266.54,207036.0,2205.0,120.0,25.0,4780.69,1.065,1.1338,1.48,130.66,163.33,Completed,Q2,2023.0,4.5,87.58,8.07,46.35
CAMP_2081,Autumn Conversion Push - Facebook Ads 2022,Conversion,Facebook Ads,Professionals 25-35,Middle East,2022-07-07,2022-08-06,6776.02,6584.24,363304.0,5698.0,356.0,162.0,51799.19,1.5684,2.8431,1.16,40.64,50.8,,Q3,2022.0,4.3,76.25,7.01,686.71
CAMP_4654,Winter Lead Gen - SEO 2024,Lead Generation,SEO,Professionals 25-35,Africa,2024-11-12,2024-12-03,27341.38,20425.06,619800.0,18653.0,1280.0,755.0,74184.92,3.0095,4.0476,1.1,27.05,33.82,Completed,Q4,2024.0,4.2,92.0,2.09,263.21
CAMP_6764,Summer Brand Awareness - Instagram Ads 2022,Brand Awareness,Instagram Ads,Parents,North America,2022-06-13,2022-08-12,13767.61,10334.92,706213.0,5711.0,130.0,22.0,5838.87,0.8087,0.3852,1.81,469.77,587.21,Completed,Q2,2022.0,3.4,79.19,12.21,-43.5
CAMP_5679,Brand Refresh Win-back - Facebook Ads 2024,Re-engagement,Facebook Ads,Mid-Age 35-50,North America,2024-05-08,2024-07-07,59755.96,55268.36,3800114.0,38934.0,1503.0,302.0,58662.73,1.0245,0.7757,1.42,183.01,228.76,Completed,Q2,2024.0,4.3,83.84,8.93,6.14
CAMP_8575,Cyber Monday Conversion Push - Email 2024,Conversion,Email,Students,Europe,2024-02-04,2024-02-11,1492.51,1404.76,76554.0,2463.0,90.0,37.0,7472.54,3.2173,1.5022,0.57,37.97,47.46,Completed,Q1,2024.0,3.6,74.74,6.67,431.94
CAMP_0276,Summer Brand Awareness - Influencer 2023,Brand Awareness,Influencer,Mid-Age 35-50,Asia Pacific,2023-11-30,2024-03-29,855.18,771.92,106633.0,921.0,12.0,1.0,181.17,0.8637,0.1086,0.84,771.92,964.9,Completed,Q4,2023.0,4.1,88.07,9.65,-76.53
CAMP_2457,Summer Brand Awareness - Influencer 2022,Brand Awareness,Influencer,Students,Latin America,2022-02-12,2022-03-05,13968.47,8040.48,410775.0,6648.0,104.0,8.0,888.97,1.6184,0.1203,1.21,1005.06,1256.32,Completed,Q1,2022.0,4.3,85.39,5.31,-88.94
CAMP_4363,Spring Brand Awareness - YouTube 2022,Brand Awareness,YouTube,Professionals 25-35,Europe,2022-03-03,2022-03-17,12723.1,13126.69,4777233.0,18797.0,242.0,28.0,2959.19,0.3935,0.149,0.7,468.81,586.01,Completed,Q1,2022.0,3.4,66.64,15.07,-77.46
CAMP_9315,Back to School Conversion Push - Affiliate 2023,Conversion,Affiliate,Young Adults 18-25,Europe,2023-07-12,2023-09-25,17263.3,9099.56,694095.0,12150.0,549.0,299.0,28346.1,1.7505,2.4609,0.75,30.43,38.04,Paused,Q3,2023.0,3.5,90.64,10.32,211.51
CAMP_2045,Loyalty Lead Gen - SEO 2023,Lead Generation,SEO,Young Adults 18-25,North America,2023-04-24,2023-07-08,18091.5,18747.4,318966.0,15476.0,630.0,171.0,34449.64,4.8519,1.1049,1.21,109.63,137.04,Completed,Q2,2023.0,3.2,81.67,3.21,83.76
CAMP_4241,Winter Conversion Push - Facebook Ads 2022,Conversion,Facebook Ads,Young Adults 18-25,Europe,2022-06-09,2022-07-09,3987.99,4187.39,118715.0,3279.0,90.0,23.0,5392.22,2.7621,0.7014,1.28,182.06,227.58,Completed,Q2,2022.0,3.8,68.54,9.53,28.77
CAMP_4944,Spring Brand Awareness - YouTube 2023,Brand Awareness,YouTube,Mid-Age 35-50,North America,2023-12-07,2024-02-05,115233.08,69570.72,27325039.0,132146.0,2499.0,162.0,28879.36,,0.1226,0.53,429.45,536.81,Completed,Q4,2023.0,3.4,84.66,9.6,-58.49
CAMP_5560,Newsletter Retention - Google Ads 2024,Retention,Google Ads,Young Adults 18-25,North America,2024-04-17,2024-05-08,35061.56,8692.43,113306.0,3980.0,153.0,37.0,1533.06,3.5126,0.9296,2.18,234.93,293.66,Cancelled,Q2,2024.0,3.9,75.43,12.84,-82.36
CAMP_7356,Spring Conversion Push - Content Marketing 2022,Conversion,Content Marketing,Professionals 25-35,Latin America,2022-01-20,2022-07-19,39650.17,37250.76,1928961.0,26844.0,1053.0,499.0,125901.77,1.3916,1.8589,1.39,74.65,93.31,Active,Q1,2022.0,3.9,69.83,6.46,237.98
CAMP_3921,Webinar Lead Gen - Affiliate 2023,Lead Generation,Affiliate,Professionals 25-35,Latin America,2023-04-15,2023-04-22,12064.54,10713.97,1005908.0,12296.0,895.0,260.0,49683.88,1.2224,2.1145,0.87,41.21,51.51,Completed,Q2,2023.0,3.9,92.0,11.31,363.73
CAMP_0288,Winter Win-back - Instagram Ads 2024,Re-engagement,Instagram Ads,Mid-Age 35-50,Asia Pacific,2024-08-02,2024-09-01,11046.63,11047.11,1521899.0,7898.0,187.0,33.0,6525.83,0.519,0.4178,1.4,334.76,418.45,Completed,Q3,2024.0,3.4,79.25,8.89,-40.93
CAMP_1018,Newsletter Conversion Push - Facebook Ads 2023,Conversion,Facebook Ads,Mid-Age 35-50,Europe,2023-05-04,2023-10-01,5374.11,3685.96,157642.0,2654.0,93.0,49.0,11602.11,1.6836,1.8463,1.39,75.22,94.03,Active,Q2,2023.0,3.6,77.37,12.06,214.76
CAMP_9976,Win-back Retention - Social Media 2022,Retention,Social Media,Mid-Age 35-50,Asia Pacific,2022-09-25,2023-03-24,19863.34,3371.91,253133.0,2427.0,137.0,36.0,1040.38,0.9588,1.4833,1.39,93.66,117.08,Cancelled,Q3,2022.0,4.1,84.62,5.05,-69.15
CAMP_4618,Winter Retention - Facebook Ads 2022,Retention,Facebook Ads,Mid-Age 35-50,Asia Pacific,2022-10-24,2023-01-22,72105.83,64985.43,5519157.0,59974.0,3145.0,1887.0,453210.8,1.0867,3.1464,1.08,34.44,43.05,Completed,Q4,2022.0,5.0,74.33,6.59,597.4
CAMP_1676,Festive Conversion Push - Instagram Ads 2023,Conversion,Instagram Ads,Professionals 25-35,Latin America,2023-11-17,2023-12-08,44902.66,42222.92,3902673.0,44044.0,1725.0,390.0,55899.87,1.1286,0.8855,0.96,108.26,135.33,Active,Q4,2023.0,3.7,58.69,8.47,32.39
CAMP_0010,Flash Sale Lead Gen - Influencer 2023,Lead Generation,Influencer,Professionals 25-35,North America,2023-08-04,2023-09-18,69263.05,62570.17,7882704.0,55783.0,1548.0,399.0,30281.83,0.7077,,1.12,156.82,196.02,Active,Q3,2023.0,4.2,89.36,5.2,-51.6
CAMP_6346,Win-back Retention - Influencer 2022,Retention,Influencer,Young Adults 18-25,Middle East,2022-01-28,2022-02-27,4818.47,3448.03,1092386.0,3991.0,137.0,37.0,6867.48,0.3653,0.9271,0.86,93.19,116.49,Active,Q1,2022.0,5.0,89.84,3.54,99.17
CAMP_7490,Referral Brand Awareness - Email 2022,Brand Awareness,Email,Professionals 25-35,North America,2022-07-04,2022-07-25,20184.9,10019.28,268803.0,11049.0,272.0,34.0,2705.72,4.1104,0.3077,0.91,294.68,368.36,Paused,Q3,2022.0,2.7,87.64,4.03,-72.99
CAMP_4748,Newsletter Brand Awareness - Social Media 2024,,Social Media,Professionals 25-35,North America,2024-09-29,2024-12-13,11938.3,9285.87,811887.0,10485.0,222.0,41.0,5579.66,1.2914,0.391,0.89,226.48,283.11,Active,Q3,2024.0,3.3,79.0,5.63,-39.91
CAMP_1237,New Year Lead Gen - Content Marketing 2024,Lead Generation,Content Marketing,Parents,North America,2024-06-03,2024-08-17,16631.78,5581.48,202381.0,3196.0,302.0,58.0,3494.6,,1.8148,1.75,96.23,120.29,Cancelled,Q2,2024.0,3.5,92.0,3.02,-78.99
CAMP_3354,Winter Retention - YouTube 2023,Retention,YouTube,Students,North America,2023-02-20,2023-03-13,35927.63,28637.66,5359155.0,40659.0,1305.0,221.0,13333.56,0.7587,0.5435,0.7,129.58,161.98,Completed,Q1,2023.0,4.0,83.26,7.44,-53.44
CAMP_5592,Black Friday Win-back - Google Ads 2022,Re-engagement,Google Ads,Young Adults 18-25,North America,2022-01-11,2022-02-25,4178.57,3372.52,40476.0,997.0,82.0,28.0,4746.49,2.4632,2.8084,3.38,120.45,150.56,Completed,Q1,2022.0,3.9,74.52,6.54,40.74
CAMP_4923,Winter Retention - SEO 2024,Retention,SEO,Students,Asia Pacific,2024-03-27,2024-08-24,11322.06,10174.3,384891.0,8609.0,335.0,67.0,3198.51,2.2367,0.7783,1.18,151.86,189.82,Completed,Q1,2024.0,4.5,92.0,4.88,-68.56
CAMP_8889,Newsletter Brand Awareness - SEO 2022,Brand Awareness,SEO,Young Adults 18-25,Latin America,2022-10-25,2023-02-22,13701.47,8211.75,,7133.0,70.0,7.0,516.75,3.0599,0.0981,1.15,1173.11,1466.38,Paused,Q4,2022.0,3.3,92.0,2.61,-93.71
CAMP_7912,Premium Conversion Push - Facebook Ads 2022,Conversion,Facebook Ads,Parents,North America,2022-06-01,2022-07-16,20478.16,19454.16,961801.0,16057.0,578.0,238.0,6061.01,1.6695,1.4822,1.21,81.74,102.18,Completed,Q2,2022.0,3.7,78.83,6.44,-68.84
CAMP_3075,Festive Win-back - SEO 2023,Re-engagement,SEO,Young Adults 18-25,Asia Pacific,2023-12-27,2024-04-25,12210.13,7155.54,372150.0,8610.0,349.0,31.0,11048.23,2.3136,0.36,0.83,230.82,288.53,Paused,Q4,2023.0,3.9,69.1,8.41,54.4
CAMP_5322,Referral Conversion Push - Social Media 2022,Conversion,Social Media,Parents,Latin America,2022-06-11,2022-08-10,6834.79,6951.48,430392.0,6508.0,186.0,37.0,4141.91,1.5121,0.5685,1.07,187.88,234.85,Completed,Q2,2022.0,4.3,66.7,13.25,-40.42
CAMP_8485,Back to School Brand Awareness - YouTube 2023,Brand Awareness,YouTube,Young Adults 18-25,North America,2023-09-29,2024-01-27,4569.27,3973.86,1327648.0,6135.0,66.0,6.0,1270.68,0.4621,0.0978,0.65,662.31,827.89,Completed,Q3,2023.0,3.0,75.55,12.78,-68.02
CAMP_4832,Winter Conversion Push - Social Media 2024,Conversion,Social Media,Professionals 25-35,Middle East,2024-11-28,2025-04-27,19599.94,16727.41,1607782.0,15652.0,367.0,104.0,20846.22,0.9735,0.6645,1.07,160.84,201.05,Active,Q4,2024.0,4.1,80.65,9.52,24.62
CAMP_8264,Premium Retention - Facebook Ads 2024,Retention,Facebook Ads,Students,Europe,2024-05-30,2024-06-20,135493.84,142268.53,3993090.0,89398.0,4808.0,1780.0,215014.26,2.2388,1.9911,1.59,79.93,99.91,Completed,Q2,2024.0,4.6,85.94,5.94,51.13
CAMP_4896,Evergreen Lead Gen - Google Ads 2024,Lead Generation,Google Ads,Mid-Age 35-50,Africa,2024-05-29,2024-10-26,17380.21,10568.06,55347.0,4451.0,553.0,265.0,23204.76,8.042,5.9537,2.37,39.88,49.85,Paused,Q2,2024.0,3.3,91.48,9.18,119.57
CAMP_6593,Premium Conversion Push - SEO 2023,Conversion,SEO,Young Adults 18-25,Asia Pacific,2023-03-20,2023-04-03,5439.03,4838.6,73006.0,3245.0,146.0,48.0,7783.98,4.4448,1.4792,1.49,100.8,126.01,Completed,Q1,2023.0,3.8,82.31,5.56,60.87
CAMP_0489,Brand Refresh Lead Gen - SEO 2024,Lead Generation,SEO,Young Adults 18-25,Asia Pacific,2024-07-09,2024-07-30,108924.28,95081.74,1478568.0,74282.0,7124.0,1173.0,80668.45,5.0239,1.5791,1.28,81.06,101.32,Completed,Q3,2024.0,2.7,76.71,4.23,-15.16
CAMP_6427,Loyalty Retention - Facebook Ads 2022,Retention,Facebook Ads,Young Adults 18-25,North America,2022-11-10,2022-11-24,8666.94,1813.89,69910.0,1126.0,77.0,18.0,784.15,1.6106,1.5986,1.61,100.77,125.96,Cancelled,Q4,2022.0,3.9,75.49,13.7,-56.77
CAMP_8388,Summer Conversion Push - Google Ads 2023,Conversion,Google Ads,Senior 50+,Africa,2023-04-20,2023-07-19,97215.82,89740.68,528220.0,28096.0,1114.0,424.0,54807.31,,1.5091,3.19,211.65,264.57,Completed,Q2,2023.0,3.1,84.64,4.22,
CAMP_2196,Holiday Retention - Facebook Ads 2024,Retention,Facebook Ads,Parents,Asia Pacific,2024-01-12,2024-06-10,5456.22,4945.34,293887.0,2938.0,145.0,42.0,6620.04,0.9997,1.4295,1.68,117.75,147.18,Completed,Q1,2024.0,4.4,81.57,8.13,33.86
CAMP_0710,Premium Conversion Push - SEO 2023,Conversion,SEO,Students,North America,2023-02-01,2023-04-02,6860.32,6145.68,241762.0,5970.0,243.0,74.0,23809.46,2.4694,1.2395,1.03,,103.81,Completed,Q1,2023.0,3.4,75.91,4.88,287.42
CAMP_5299,Monsoon Win-back - SEO 2022,Re-engagement,SEO,Young Adults 18-25,Europe,2022-01-22,2022-02-05,7164.1,4530.16,119027.0,4764.0,171.0,20.0,1865.69,4.0025,0.4198,0.95,226.51,283.13,Active,Q1,2022.0,2.8,73.41,9.34,-58.82
CAMP_5336,Product Launch Conversion Push - Facebook Ads 2024,Conversion,Facebook Ads,Professionals 25-35,Latin America,2024-09-08,2024-09-29,67105.98,61582.63,2514015.0,37796.0,1926.0,452.0,66204.21,1.5034,1.1959,1.63,136.24,170.31,Completed,Q3,2024.0,3.8,75.0,0.3,7.5
CAMP_1067,Black Friday Win-back - YouTube 2023,Re-engagement,YouTube,Students,North America,2023-08-10,2023-12-08,9485.15,6950.49,3628403.0,11887.0,312.0,58.0,4893.87,0.3276,0.4879,0.58,119.84,149.8,Completed,Q3,2023.0,3.6,92.0,2.45,-29.59
CAMP_3475,Premium Win-back - YouTube 2022,Re-engagement,YouTube,Students,North America,2022-04-25,2022-10-22,2469.1,2355.98,1092668.0,4079.0,56.0,10.0,1558.97,0.3733,,0.58,235.6,294.5,Completed,Q2,2022.0,1.9,89.44,6.57,-33.83
CAMP_3172,Premium Lead Gen - Facebook Ads 2024,Lead Generation,Facebook Ads,Students,North America,2024-01-03,2024-02-02,34651.77,17627.37,854257.0,13813.0,883.0,171.0,3122.66,1.617,1.238,1.28,103.08,128.86,Paused,Q1,2024.0,3.8,79.22,10.77,-82.29
CAMP_2807,New Year Lead Gen - Google Ads 2022,Lead Generation,Google Ads,Mid-Age 35-50,Asia Pacific,2022-01-22,2022-04-07,15993.01,14343.93,108451.0,5528.0,774.0,259.0,19578.28,5.0972,4.6852,2.59,55.38,69.23,Completed,Q1,2022.0,2.6,91.98,0.61,36.49
CAMP_7874,New Year Lead Gen - Social Media 2023,Lead Generation,Social Media,Mid-Age 35-50,Europe,2023-05-10,2023-05-17,3891.99,3669.65,369304.0,3242.0,237.0,75.0,16122.31,0.8779,2.3134,1.13,48.93,61.16,Completed,Q2,2023.0,4.2,69.5,15.0,339.34
CAMP_2347,Back to School Retention - Instagram Ads 2024,Retention,Instagram Ads,Professionals 25-35,Europe,2024-10-21,2024-12-20,146423.8,94291.88,7492892.0,90932.0,3525.0,1439.0,337588.43,1.2136,1.5825,1.04,65.53,81.91,Completed,Q4,2024.0,4.4,82.42,5.29,258.02
